"year","stateabbr","statedesc","countyname","countyfips","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2020","AL","Alabama","Henry","01067","01067030500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.3",,,"3.0","3.7","5951","POINT (-85.31355029 31.35410333)","01067030500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AL","Alabama","Jefferson","01073","01073005702","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","7.0",,,"6.1","8.0","3413","POINT (-86.87430223 33.46985543)","01073005702","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AL","Alabama","Lee","01081","01081040200","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","31.1",,,"29.1","33.2","5133","POINT (-85.4552327 32.60933233)","01081040200","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2020","AL","Alabama","Lee","01081","01081042003","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","36.0",,,"34.5","37.5","3645","POINT (-85.14497306 32.48817828)","01081042003","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2020","AL","Alabama","Shelby","01117","01117030102","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.7",,,"4.3","5.0","4127","POINT (-86.42901323 33.38318837)","01117030102","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AZ","Arizona","Maricopa","04013","04013092309","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","32.0",,,"31.0","33.0","5212","POINT (-112.1602555 33.56029957)","04013092309","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2020","AZ","Arizona","Navajo","04017","04017940100","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","5.0",,,"4.7","5.4","4096","POINT (-110.332086 34.10905524)","04017940100","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AZ","Arizona","Pima","04019","04019004113","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.3",,,"2.0","2.5","4116","POINT (-110.8676454 32.06777031)","04019004113","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AZ","Arizona","Pima","04019","04019004615","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.3",,,"2.9","3.9","3030","POINT (-110.994585 32.3301365)","04019004615","HLTHOUT","STROKE","CrdPrv","Stroke"
"2020","AZ","Arizona","Pinal","04021","04021002003","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.9",,,"3.6","4.3","4096","POINT (-111.5350209 32.75177997)","04021002003","HLTHOUT","STROKE","CrdPrv","Stroke"
